ts,user,color
1491162846000,Na9qRjocbwSut5zU3PKq1EJ2zuQ=,0
1491224163000,dE+9wP1D1geaOHxPtezRcUZnxik=,0
1491170963000,rowfvZ2qj+TjaZGWIhG+0vuqF8o=,0
1491176897000,fc1Jt+tsfnKrdOB1MS0TFCPrk34=,0
1491202521000,trKdS5p+YA0/h7mPCA/sfCWLvxs=,0
1491118212000,HWD6qafpyNAoj1pRLzvlwhQpaA4=,0
1491132824000,xow8M2Fzuq+KqC4kMJN5hmpTZtM=,0
1491126547000,282firZZuUAWLeSpDcM26iQosLE=,0
1491197091000,Kluzw84jmJOsVJV0xaZuQXrnAx0=,0
1491178432000,zUIP8kHexzNewtbKSs8S+juHtfc=,0
1491163122000,n9Gsz+ZdE2m7BHGKwIVqmKXb6gI=,0
1491207823000,dCU5o5wtX9DpPXJlTwZnNstSApQ=,0
1491235367000,yhOd3OBFgMtdqPL5jbUrre4lJ2w=,0
1491225670000,AMUKvEunipm3soRBerQfVYJPwAk=,0
1491063421000,GncKzN4mPH/B6DrDYw4kYDdqGAM=,0
1491153883000,XCsur3W00tjNddiOM6Tkd6ZpjOQ=,0
1491238303000,ALIBQ/o+WwkFKPMMyz0RnSMrSNM=,0
1491179889000,pJVFj3UrCiOjKdXv++LsXZm6bXE=,0
1491226114000,ipnkrs5s7QCr7NCUVsGB+2qIszU=,0
1491172378000,piu4ixAQDGJ0GdqLNAJ8ZSctG4Q=,0
1491139174000,ZcLbaXXI7fN0oVt3Ctny+l7unas=,0
1491142353000,KC2lW0a1LqAgBtnq7lSZAls28fM=,0
1491098217000,uZGSdJeEcl8q2dkh/13KMKU1e0Y=,0
1491092242000,aME7V2LEdcBLiRzrVJMLh4cdRUQ=,0
1491188350000,deKsZfeDN1CvtuYAL7aIZb4UNAw=,0
1491181659000,H4OT0ks1NrS4BKPUDjarB1YTrZw=,0
1491069716000,gPuT7II4rFLBUuC0vZTBPG7Cbkw=,0
1491139829000,UXgbFBDnnS8iNzwefpHwmAmlev0=,0
1491099316000,bTnVcYmDoRWJHB25ZAz46amOWwY=,0
1491218616000,KQOzfUDumd9BhAWgUKDx8Ra1hzc=,0
1491119770000,HNNhIToFNYVXxrBnypGjglnIrNA=,0
1491198244000,69qK9Ux36X0nEvkYgFYITykVrdE=,0
1491163868000,b8XF/478WXoxS1SEIbIoIJ0/Q80=,0
1491160820000,fUml5g4lnsS19N2rxNO/DCQjU0k=,0
1491237905000,X8jyfkNASHddLRrn6gOhew59yN4=,0
1491237840000,xn/bmfkoUfQSdxoyUk7dbGeYAQc=,0
1491198836000,6hMKsZwUEksHi1HhhFTVfsnTTMg=,0
1491234311000,K+2Ad4VJfiE6gHMFBOW6EoIfDZM=,0
1491123070000,qLlCPpjKEZvNAGRosDFGF4A39s0=,0
1491174715000,zLEpgCRreM2BmEOCs75+Jc9VIe4=,0
1491196669000,2Oe2GM8n75lAW0Ko0DJrIcKW1qw=,0
1491085619000,3hYP3MnTbxEo+r3TvBhCgf/jZCA=,0
1491152305000,669RYqVl6PehP5Ps8BPYiKfsqBA=,0
1491115572000,kO/b7poXKP1QBci01tsVKVSGATU=,0
1490989601000,8DHJq2xzoQimvIUmncWVYCvdLK0=,0
1491174688000,wnYkHW2mTz3usiFhBUe3HsYQiIA=,0
1491142945000,HWQLxB/xNbIKqq4sCzKOX7JcpVM=,0
1491087152000,t3RhY0RGi/ei685GX5KkikCcdAc=,0
1491199090000,Ba+UJ+LtlI5GOW/tCMFpRK6yWT8=,0
1491084049000,oyvFrEzcMTqxzQOYtllG5lpWHDY=,0
1491226419000,no2fiAU6ggS11skn/KUatU9H8n0=,0
1491237148000,3tP5apIP6CRaN6asYkOJNHJMqAc=,0
1491137754000,DtMlYivcMHGdF68gAEwERFlaApY=,0
1491163095000,ktosOGK5QaySCIKbpI4vXN3PtWA=,0
